cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modelo_comercial,ticket_tipo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,prioridad,ranking_en_cuenta,valor_potencial_eur,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
Parque Arauco,PARQUE ARAUCO,Real Estate & Malls,Estrategica,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,62.6,A,1,3235.0,0.9,0.406,0.47,1.0,0.5,62.615,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.636,1.17,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
TUA,TUA,Por clasificar,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,62.2,A,1,3235.0,0.9,0.196,0.47,1.0,0.75,62.158,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,"Adyacente a consultoria & ad hoc, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Indumotora,INDUMOTORA,Automotriz,Estrategica,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,61.3,A,1,3235.0,0.9,0.354,0.47,1.0,0.5,61.256,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de automotriz ya lo ejecutan; servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Claro,CLARO,Telco,Estrategica,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,55.6,A,1,15497.0,0.365,0.245,0.765,0.972,0.75,55.573,1.0,1.0,3.4,0.667,100.0,33.3,1,3,0.0,0.0,0.0,0.0,,,,,"1 de 3 cuentas de telco ya lo ejecutan; adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,55.6,A,1,3235.0,0.9,0.328,0.47,1.0,0.25,55.587,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de energia & combustibles ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,55.4,A,2,19718.0,0.499,0.0,0.81,0.739,1.0,55.415,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
SMU,SMU,Retail Supermercados,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,54.5,A,1,3235.0,0.9,0.093,0.47,1.0,0.5,54.475,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Telefonica,TELEFONICA,Telco,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,53.6,A,1,12477.0,0.499,0.15,0.724,0.805,0.75,53.552,1.0,1.0,3.4,1.0,100.0,33.3,1,3,0.0,0.0,0.0,0.0,,,,,"1 de 3 cuentas de telco ya lo ejecutan; adyacente a licencias & plataformas, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Claro,CLARO,Telco,Estrategica,MMM Full,MMM Marketing Mix Modeling (without data collection process),Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,53.0,A,2,54108.0,0.141,0.0,1.0,0.971,1.0,53.038,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Esmax,ESMAX,Energia & Combustibles,Desarrollo,MMM Full,MMM Marketing Mix Modeling (without data collection process),Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,53.0,A,3,54108.0,0.141,0.0,1.0,0.971,1.0,53.038,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,52.6,A,1,3235.0,0.9,0.328,0.47,1.0,0.1,52.587,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de automotriz ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,52.5,A,1,10879.0,0.565,0.201,0.698,0.928,0.5,52.501,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,51.8,A,1,10879.0,0.565,0.176,0.698,0.928,0.5,51.848,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Enex,ENEX,Energia & Combustibles,Desarrollo,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,51.8,A,1,10879.0,0.565,0.176,0.698,0.928,0.5,51.848,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,Online Data Optimization - E-commerce,Online Data Optimization - sites with E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Medio,BLANCO,Nunca ofrecido,Espacio blanco,51.4,A,2,7336.0,0.299,0.047,0.624,0.983,1.0,51.408,1.0,1.0,3.4,0.5,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Claro,CLARO,Telco,Estrategica,Online Data Optimization - Basic,Online Data Optimization - Basic,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,51.2,A,3,3256.0,0.499,0.0,0.471,0.896,1.0,51.194,1.0,1.0,3.4,1.0,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,51.2,A,1,10879.0,0.565,0.15,0.698,0.928,0.5,51.162,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Tenpo,TENPO,Fintech & Banca,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,50.6,A,1,3235.0,0.9,0.252,0.47,1.0,0.1,50.617,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,50.3,A,3,15497.0,0.365,0.043,0.765,0.972,0.75,50.321,1.0,1.0,3.4,0.667,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
TUA,TUA,Por clasificar,Emergente,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,50.3,A,2,10879.0,0.565,0.116,0.698,0.928,0.5,50.27,1.0,1.0,10.3,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Telefonica,TELEFONICA,Telco,Estrategica,Online Data Optimization - E-commerce,Online Data Optimization - sites with E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Medio,BLANCO,Nunca ofrecido,Espacio blanco,50.3,A,2,7336.0,0.299,0.197,0.624,0.983,0.75,50.303,1.0,1.0,3.4,0.5,100.0,33.3,1,3,0.0,0.0,0.0,0.0,,,,,"1 de 3 cuentas de telco ya lo ejecutan; adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Parque Arauco,PARQUE ARAUCO,Real Estate & Malls,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,50.1,A,2,12477.0,0.499,0.016,0.724,0.805,0.75,50.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,"Adyacente a licencias & plataformas, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Claro,CLARO,Telco,Estrategica,MMM Lite,MMM Lite,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,50.0,A,4,16312.0,0.165,0.096,0.774,0.802,1.0,50.012,1.0,1.0,3.4,0.167,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Gasco,GASCO,Energia & Combustibles,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,49.9,A,1,3235.0,0.9,0.225,0.47,1.0,0.1,49.904,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de energia & combustibles ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
PC Factory,PC FACTORY,Retail Electro,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,49.0,A,1,3235.0,0.9,0.189,0.47,1.0,0.1,48.958,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
PJ Chile SpA,PJ CHILE SPA,Food & QSR,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,49.0,A,1,3235.0,0.9,0.189,0.47,1.0,0.1,48.958,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Tricot,TRICOT,Retail Vestuario,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,49.0,A,1,3235.0,0.9,0.189,0.47,1.0,0.1,48.958,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Indumotora,INDUMOTORA,Automotriz,Estrategica,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,48.8,A,2,10879.0,0.565,0.059,0.698,0.928,0.5,48.791,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
GAES,GAES,Salud,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,48.7,A,1,3235.0,0.9,0.179,0.47,1.0,0.1,48.711,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Reckitt,RECKITT,CPG Cuidado Personal,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,48.7,A,1,3235.0,0.9,0.179,0.47,1.0,0.1,48.711,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
SMU,SMU,Retail Supermercados,Emergente,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,48.5,A,2,10879.0,0.565,0.047,0.698,0.928,0.5,48.476,1.0,1.0,10.3,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
WOM,WOM,Telco,Desarrollo,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,48.2,A,1,10879.0,0.565,0.343,0.698,0.928,0.1,48.177,1.0,1.0,10.3,0.667,100.0,66.7,2,3,0.0,0.0,0.0,0.0,,,,,2 de 3 cuentas de telco ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Watts,WATTS,CPG Alimentos,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,47.9,B,1,3235.0,0.9,0.147,0.47,1.0,0.1,47.881,1.0,1.0,20.7,0.75,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Nested (MMM + BEM),Nested (MMM + BEM) without Data Collection,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,47.3,B,4,28181.0,0.0,0.0,0.877,0.963,1.0,47.346,1.0,1.0,0.0,0.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Cruz Verde,CRUZ VERDE,Retail Farmacia,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,46.5,B,1,3235.0,0.9,0.093,0.47,1.0,0.1,46.475,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Verisure,VERISURE,Servicios Hogar & Seguridad,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,46.5,B,1,3235.0,0.9,0.093,0.47,1.0,0.1,46.475,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,Online Data Optimization - E-commerce,Online Data Optimization - sites with E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Medio,BLANCO,Nunca ofrecido,Espacio blanco,46.3,B,2,7336.0,0.299,0.043,0.624,0.983,0.75,46.294,1.0,1.0,3.4,0.5,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,Online Data Optimization - Basic,Online Data Optimization - Basic,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,46.2,B,3,3256.0,0.499,0.0,0.471,0.896,0.75,46.194,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Telefonica,TELEFONICA,Telco,Estrategica,Online Data Optimization - Basic,Online Data Optimization - Basic,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,46.2,B,3,3256.0,0.499,0.0,0.471,0.896,0.75,46.194,1.0,1.0,3.4,1.0,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,CAPI x Gateway,CAPI x Gateway by CSA - look for special ratecard,Data Collection & Activacion,Server-Side / CAPI,CSA - Tech,Recurrente,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,45.9,B,2,1100.0,0.6,0.225,0.267,0.904,0.5,45.896,1.0,1.0,6.9,1.0,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de automotriz ya lo ejecutan; servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
SMU,SMU,Retail Supermercados,Emergente,C-GenIA,C-GenIA,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,45.7,B,3,18305.0,0.0,0.0,0.796,0.951,1.0,45.734,1.0,1.0,0.0,0.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,"Adyacente a creative intelligence & genai, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Enex,ENEX,Energia & Combustibles,Desarrollo,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,45.3,B,2,15497.0,0.365,0.043,0.765,0.972,0.5,45.321,1.0,1.0,3.4,0.667,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,45.3,B,3,15497.0,0.365,0.043,0.765,0.972,0.5,45.321,1.0,1.0,3.4,0.667,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
SMU,SMU,Retail Supermercados,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,45.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.5,45.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
TUA,TUA,Por clasificar,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,45.1,B,3,12477.0,0.499,0.016,0.724,0.805,0.5,45.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.5,44.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Enex,ENEX,Energia & Combustibles,Desarrollo,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.7,B,3,12477.0,0.499,0.0,0.724,0.805,0.5,44.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.5,44.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Indumotora,INDUMOTORA,Automotriz,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.7,B,3,12477.0,0.499,0.0,0.724,0.805,0.5,44.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.5,44.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
SMU,SMU,Retail Supermercados,Emergente,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.6,B,5,15497.0,0.365,0.016,0.765,0.972,0.5,44.599,1.0,1.0,3.4,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
TUA,TUA,Por clasificar,Emergente,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,44.6,B,4,15497.0,0.365,0.016,0.765,0.972,0.5,44.599,1.0,1.0,3.4,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,Tech Services Ad Hoc,Tech Services Ad Hoc,Consultoria & Ad Hoc,Servicios Tech,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,44.5,B,5,3814.0,0.289,0.102,0.501,0.906,0.75,44.459,1.0,1.0,6.9,0.222,81.8,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a consultoria & ad hoc, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
