servicio_normalizado,label_corto,service_name,familia,subfamilia,pilar,capability,origen,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,activo,penetracion_pct,win_rate,momentum_pct,valor_referencia_eur,valor_anual_eur,fuente_valor,srp_eur,ticket_mediano_eur,ticket_promedio_eur,revenue_eur,pitches,ganados,perdidos,abiertos,cuentas_con_servicio,cuentas_ofrecido,cuentas_blanco,ultimo_movimiento,dias_sin_movimiento
1PD Integration,1PD Integration,1PD Integration (until 15 sources) - Google,Data Integration & Activation,Data Integration,CSA - Tech,Tech,Google,Proyecto,Alto,solo:1PD Integration (until 15 sources) - Google,ACUMULABLE,1,True,0.0,,100.0,12156.75,12156.75,Historico CL,7454.545454545454,12156.75,12156.75,0.0,1.0,0.0,0.0,1.0,0,1,28,2026-06-03,85.0
META CAPI GW,META CAPI GW,META CAPI GATEWAY: Implementation in the Client's Own Environment,Data Integration & Activation,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Alto,META CAPI Gateway,ESCALABLE,1,True,0.0,,0.0,6090.90909090909,6090.90909090909,SRP catalogo,6090.90909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
META CAPI GW + Signals,META CAPI GW + Signals,META CAPI GATEWAY: Implementation in the Client's Own Environment + Signals,Data Integration & Activation,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Alto,META CAPI Gateway,ESCALABLE,2,True,0.0,,0.0,6727.272727272727,6727.272727272727,SRP catalogo,6727.272727272727,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
META Catalogo API,META Catalogo API,META Catalog Integration via API,Data Integration & Activation,Catalogs Automation,CSA - Tech,Tech,META,Proyecto,Alto,META Catalogos,EXCLUSIVO,1,True,0.0,,0.0,8090.90909090909,8090.90909090909,SRP catalogo,8090.90909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
META Catalogo bulk,META Catalogo bulk,META Bulk Upload of Catalogs,Data Integration & Activation,Catalogs Automation,CSA - Tech,Tech,META,Proyecto,Bajo,META Catalogos,EXCLUSIVO,1,True,0.0,,0.0,2454.5454545454545,2454.5454545454545,SRP catalogo,2454.5454545454545,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
META Catalogo nativo,META Catalogo nativo,META Catalog Integration with Native Platforms,Data Integration & Activation,Catalogs Automation,CSA - Tech,Tech,META,Proyecto,Bajo,META Catalogos,EXCLUSIVO,1,True,0.0,,0.0,1272.7272727272725,1272.7272727272725,SRP catalogo,1272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
APIs Private,APIs Private,APIs Private,Data Management & Engineering,Data Integration,CSA - Tech,Tech,APIs Administration,Proyecto,Medio,solo:APIs Private,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
APIs Public,APIs Public,APIs Public,Data Management & Engineering,Data Integration,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:APIs Public,ACUMULABLE,1,True,0.0,,0.0,2454.5454545454545,2454.5454545454545,SRP catalogo,2454.5454545454545,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CAPI 1PD Delivery,CAPI 1PD Delivery,CAPI via CSA Gateway – 1PD Delivery,Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Bajo,solo:CAPI via CSA Gateway – 1PD Delivery,ACUMULABLE,1,True,0.0,,0.0,1090.9090909090908,1090.9090909090908,SRP catalogo,1090.9090909090908,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CAPI Offline CRM,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Medio,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,1,True,0.0,,100.0,4067.79,4067.79,Historico CL,3636.363636363636,4067.79,4067.79,0.0,1.0,0.0,0.0,1.0,0,1,28,2026-07-09,49.0
CAPI WhatsApp,CAPI WhatsApp,CAPI for Business Messaging (WhatsApp),Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Bajo,solo:CAPI for Business Messaging (WhatsApp),ACUMULABLE,1,True,0.0,,0.0,3272.7272727272725,3272.7272727272725,SRP catalogo,3272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CAPI codigo directo,CAPI codigo directo,CAPI via Direct Code Integration,Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Alto,CAPI Implementacion,EXCLUSIVO,1,True,0.0,,0.0,6909.090909090908,6909.090909090908,SRP catalogo,6909.090909090908,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CAPI via GTM/Tealium,CAPI via GTM/Tealium,CAPI via Other Partner Integrations (GTM/Tealium),Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Medio,CAPI Implementacion,EXCLUSIVO,1,True,0.0,,0.0,4636.363636363636,4636.363636363636,SRP catalogo,4636.363636363636,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CAPI via Partner,CAPI via Partner,"CAPI via Partner Integrations (Vtex, Magento, etc.)",Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Bajo,CAPI Implementacion,EXCLUSIVO,1,True,0.0,,0.0,3090.9090909090905,3090.9090909090905,SRP catalogo,3090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Conversion Lift META,Conversion Lift META,Conversion LIFT by META,Data Management & Engineering,Geo Lift,CSA - Tech,Tech,META,Proyecto,Bajo,Geo Incrementalidad,EXCLUSIVO,1,True,0.0,,0.0,2090.9090909090905,2090.9090909090905,SRP catalogo,2090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
MC Content API,MC Content API,MC Content API,Data Management & Engineering,Merchant Center,CSA - Tech,Tech,Google,Proyecto,Alto,solo:MC Content API,ACUMULABLE,1,True,0.0,,0.0,14727.272727272726,14727.272727272726,SRP catalogo,14727.272727272726,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Shopping Insider,Shopping Insider,Shopping Insider / Feed AI,Data Management & Engineering,Feed Optimization,CSA - Tech,Tech,Google,Proyecto,Bajo,Shopping Feed,EXCLUSIVO,2,True,0.0,0.0,0.0,3976.3450000000003,3976.3450000000003,Historico CL,2090.9090909090905,3976.3450000000003,3976.3450000000003,0.0,2.0,0.0,2.0,0.0,0,2,27,2025-08-30,362.0
Brand Equity Model,Brand Equity Model,Brand Equity Model,Measurement & Attribution,BEM,CSA - Science,Science,Global COE,Proyecto,A cotizar,solo:Brand Equity Model,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Curves Base,Curves Base,Curves Base contract: 4 channels/2 updates,Measurement & Attribution,Investment Curves,CSA - Science,Science,Global COE,Contrato,Alto,Investment Curves,ESCALABLE,2,True,0.0,,100.0,6892.005,6892.005,Historico CL,7454.545454545454,6892.005,6892.005,0.0,2.0,0.0,0.0,2.0,0,1,28,2026-06-08,80.0
Curves Update,Curves Update,Curves Update (by conversion:channel),Measurement & Attribution,Investment Curves,CSA - Science,Science,Global COE,Proyecto,Bajo,Investment Curves,ESCALABLE,1,True,0.0,,0.0,545.4545454545454,545.4545454545454,SRP catalogo,545.4545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Geolift,Geolift,Geolift,Measurement & Attribution,Geolift,CSA - Science,Science,Global COE,Proyecto,Medio,Geo Incrementalidad,EXCLUSIVO,1,True,0.0,0.0,0.0,3628.39,3628.39,Historico CL,3909.0909090909086,3628.39,3628.39,0.0,1.0,0.0,1.0,0.0,0,1,28,2025-09-30,331.0
Investment Curves,Investment Curves,Investment Curves (by conversion:channel),Measurement & Attribution,Investment Curves,CSA - Science,Science,Global COE,Proyecto,Bajo,Investment Curves,ESCALABLE,1,True,0.0,0.0,100.0,1271.18,1271.18,Historico CL,999.9999999999999,1271.18,1271.18,0.0,1.0,0.0,1.0,0.0,0,1,28,2026-06-03,85.0
MIM Bayesiano,MIM Bayesiano,MIM Bayesiano,Measurement & Attribution,Attribution,CSA - Science,Science,Global COE,Proyecto,Alto,Atribucion Digital,EXCLUSIVO,1,True,0.0,0.0,50.0,34347.655,34347.655,Historico CL,40000.0,34347.655,34347.655,0.0,2.0,0.0,2.0,0.0,0,2,27,2026-06-05,83.0
MMM Full,MMM Full,MMM Marketing Mix Modeling (without data collection process),Measurement & Attribution,MMM,CSA - Science,Science,Latam COE,Proyecto,Alto,MMM,EXCLUSIVO,1,True,0.0,,100.0,54108.36,54108.36,Historico CL,20545.454545454544,54108.36,54108.36,0.0,1.0,0.0,0.0,1.0,0,1,28,2026-08-05,22.0
Nested MMM+BEM,Nested MMM+BEM,Nested (MMM + BEM) without Data Collection,Measurement & Attribution,Nested Model,CSA - Science,Science,Latam COE,Proyecto,Alto,MMM,EXCLUSIVO,2,True,0.0,0.0,100.0,28181.05,28181.05,Historico CL,31181.81818181818,28181.05,25850.13333333333,0.0,3.0,0.0,1.0,2.0,0,3,26,2026-07-30,28.0
RBA,RBA,RBA,Measurement & Attribution,RBA,CSA - Science,Science,Global COE,Proyecto,Alto,RBA,ESCALABLE,1,True,0.0,,0.0,19454.545454545452,19454.545454545452,SRP catalogo,19454.545454545452,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
RBA Base,RBA Base,RBA Base contract: model + 3 updates,Measurement & Attribution,RBA,CSA - Science,Science,Global COE,Contrato,Alto,RBA,ESCALABLE,2,True,0.0,,0.0,35000.0,35000.0,SRP catalogo,35000.0,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
RBA Update,RBA Update,RBA Update,Measurement & Attribution,RBA,CSA - Science,Science,Global COE,Proyecto,Medio,RBA,ESCALABLE,1,True,0.0,,0.0,5272.727272727272,5272.727272727272,SRP catalogo,5272.727272727272,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
TV Impact Anual,TV Impact Anual,TV Impact Annual contract - Example with 1 Report per month,Measurement & Attribution,TV Impact,CSA - Science,Science,Global COE,Anual,Alto,TV Impact,ESCALABLE,2,True,0.0,,0.0,27090.90909090909,27090.90909090909,SRP catalogo,27090.90909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
TV Impact per run,TV Impact per run,TV Impact per run,Measurement & Attribution,TV Impact,CSA - Science,Science,Global COE,Proyecto,Medio,TV Impact,ESCALABLE,1,True,0.0,,0.0,5454.545454545454,5454.545454545454,SRP catalogo,5454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
TV Impact per update,TV Impact per update,TV Impact per update,Measurement & Attribution,TV Impact,CSA - Science,Science,Global COE,Proyecto,Bajo,TV Impact,ESCALABLE,1,True,0.0,,0.0,1999.9999999999998,1999.9999999999998,SRP catalogo,1999.9999999999998,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
C-GenIA Advanced Anual,C-GenIA Advanced Anual,C-GenIA - Advanced (1000 images) Annual Subscription,Platform Management & Operation,AI Content Creation,CSA - Tech,Creative Tech,Latam COE,Anual,Alto,C-GenIA,ESCALABLE,3,True,0.0,,0.0,56818.181818181816,56818.181818181816,SRP catalogo,56818.181818181816,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
C-GenIA Advanced Mensual,C-GenIA Advanced Mensual,C-GenIA - Advanced (1000 images) per month,Platform Management & Operation,AI Content Creation,CSA - Tech,Tech,Latam COE,Mensual,Medio,C-GenIA,ESCALABLE,3,True,0.0,,0.0,5272.727272727272,63272.727272727265,SRP catalogo,5272.727272727272,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
C-GenIA Basic Mensual,C-GenIA Basic Mensual,C-GenIA - Basic (200 images) per month,Platform Management & Operation,AI Content Creation,CSA - Tech,Tech,Latam COE,Mensual,Bajo,C-GenIA,ESCALABLE,1,True,0.0,0.0,100.0,9661.0,9661.0,Historico CL,1636.3636363636363,9661.0,9661.0,0.0,4.0,0.0,2.0,2.0,0,4,25,2026-05-20,99.0
C-GenIA Intermediate Anual,C-GenIA Intermediate Anual,C-GenIA - Intermediate (500 images) Annual Subscription,Platform Management & Operation,AI Content Creation,CSA - Tech,Tech,Latam COE,Anual,Alto,C-GenIA,ESCALABLE,2,True,0.0,,0.0,31999.999999999996,31999.999999999996,SRP catalogo,31999.999999999996,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
